Version,Noise,Step,Loss,Value
v0,0.1,131,Validation,0.027576426044106483
v0,0.1,263,Validation,0.02396821416914463
v0,0.1,395,Validation,0.018342485651373863
v0,0.1,527,Validation,0.018774045631289482
v0,0.1,659,Validation,0.019116921350359917
v0,0.1,791,Validation,0.01827462762594223
v0,0.1,923,Validation,0.02276570349931717
v0,0.1,1055,Validation,0.017223069444298744
v0,0.1,1187,Validation,0.018546106293797493
v0,0.1,1319,Validation,0.02017374522984028
v0,0.1,1451,Validation,0.01764592155814171
v0,0.1,1583,Validation,0.019754426553845406
v0,0.1,1715,Validation,0.016587691381573677
v0,0.1,1847,Validation,0.015852222219109535
v0,0.1,1979,Validation,0.01669173501431942
v0,0.1,2111,Validation,0.0171617791056633
v0,0.1,2243,Validation,0.0168289951980114
v0,0.1,2375,Validation,0.015502004884183407
v0,0.1,2507,Validation,0.014974460937082767
v0,0.1,2639,Validation,0.01829594001173973
v0,0.1,2771,Validation,0.015798525884747505
v0,0.1,2903,Validation,0.015026848763227463
v0,0.1,3035,Validation,0.015389355830848217
v0,0.1,3167,Validation,0.015112803317606449
v0,0.1,3299,Validation,0.01691771298646927
v0,0.1,3431,Validation,0.017983492463827133
v0,0.1,3563,Validation,0.014125680550932884
v0,0.1,3695,Validation,0.01395976822823286
v0,0.1,3827,Validation,0.015318700112402439
v0,0.1,3959,Validation,0.01609678380191326
v0,0.1,4091,Validation,0.014119665138423443
v0,0.1,4223,Validation,0.013569299131631851
v0,0.1,4355,Validation,0.01324487291276455
v0,0.1,4487,Validation,0.013536881655454636
v0,0.1,4619,Validation,0.015360563062131405
v0,0.1,4751,Validation,0.01304415613412857
v0,0.1,4883,Validation,0.014308495447039604
v0,0.1,5015,Validation,0.0130644291639328
v0,0.1,5147,Validation,0.01314725261181593
v0,0.1,5279,Validation,0.013769206590950489
v0,0.1,5411,Validation,0.014879140071570873
v0,0.1,5543,Validation,0.012616349384188652
v0,0.1,5675,Validation,0.013896279036998749
v0,0.1,5807,Validation,0.012328860349953175
v0,0.1,5939,Validation,0.016429975628852844
v0,0.1,6071,Validation,0.015325900167226791
v0,0.1,6203,Validation,0.015573997050523758
v0,0.1,6335,Validation,0.013926546089351177
v0,0.1,6467,Validation,0.01307702250778675
v0,0.1,6599,Validation,0.01680666208267212
v0,0.1,6731,Validation,0.014375611208379269
v0,0.1,6863,Validation,0.012657864950597286
v0,0.1,6995,Validation,0.013988512568175793
v0,0.1,7127,Validation,0.012528562918305397
v0,0.1,7259,Validation,0.016720667481422424
