                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83304,                 2.2125,                 1.2139,                0.64995,                0.57014,                 0.6771,                0.49859,                0.88046,                  1.949,                 1.3127,             0.00041035,             0.00041035,             0.00041035
                      2,                0.87928,                 1.4948,                 1.2316,                0.76145,                0.66561,                0.76274,                0.52596,                0.97336,                 1.5471,                 1.4265,             0.00082429,             0.00082429,             0.00082429
                      3,                0.97819,                  1.416,                 1.2989,                 0.6615,                0.70687,                0.73917,                0.51284,                 1.0418,                 1.6125,                 1.4749,              0.0012355,              0.0012355,              0.0012355
                      4,                0.98118,                 1.3716,                 1.2817,                0.77281,                0.69603,                0.77981,                0.52975,                  1.016,                 1.3133,                 1.4099,              0.0012376,              0.0012376,              0.0012376
                      5,                0.95236,                  1.246,                 1.2697,                0.81658,                0.72254,                 0.8269,                0.56603,                 1.0117,                 1.3622,                 1.4393,              0.0012335,              0.0012335,              0.0012335
                      6,                0.93852,                 1.1945,                 1.2657,                 0.7503,                0.72343,                0.78149,                0.53629,                 1.0687,                 1.3593,                  1.484,              0.0012294,              0.0012294,              0.0012294
                      7,                0.90024,                 1.0808,                 1.2234,                0.77071,                0.77356,                0.83748,                0.60599,                0.97468,                 1.3154,                 1.4197,              0.0012252,              0.0012252,              0.0012252
                      8,                0.88821,                  1.029,                 1.2313,                 0.8629,                0.74276,                0.85857,                0.63736,                0.97977,                 1.3242,                 1.4446,              0.0012211,              0.0012211,              0.0012211
                      9,                0.86979,                0.97041,                 1.2139,                0.83853,                0.74149,                0.83673,                0.61754,                 1.0481,                 1.3154,                 1.4177,               0.001217,               0.001217,               0.001217
                     10,                0.87303,                 0.9829,                 1.2117,                0.76736,                0.76372,                0.82541,                0.60424,                0.97646,                 1.0053,                 1.3769,              0.0012129,              0.0012129,              0.0012129
                     11,                0.83434,                0.91167,                 1.1903,                0.77725,                0.64036,                 0.7293,                0.48322,                 1.3281,                 1.3109,                 1.7172,              0.0012087,              0.0012087,              0.0012087
                     12,                0.83158,                0.89457,                 1.1763,                0.81011,                 0.7432,                0.85436,                0.63005,                 1.0594,                 1.4157,                 1.4916,              0.0012046,              0.0012046,              0.0012046
                     13,                0.84684,                0.90175,                 1.1989,                0.88148,                0.78707,                0.85795,                0.64692,                0.95261,                0.93017,                 1.3185,              0.0012005,              0.0012005,              0.0012005
                     14,                0.83744,                0.87847,                 1.1862,                0.78784,                0.81445,                0.86031,                0.63787,                 1.0287,                0.93285,                 1.4577,              0.0011964,              0.0011964,              0.0011964
